#-Hlavicka-#
# y0 = 10.00m, v0y = 25.00m/s, ymax = 41.87m, tmax = 2.55s
#----------#
0.00	10.00	25.00
0.01	10.25	24.90
0.02	10.50	24.80
0.03	10.75	24.71
0.04	10.99	24.61
0.05	11.24	24.51
0.06	11.49	24.41
0.07	11.73	24.31
0.08	11.97	24.22
0.09	12.21	24.12
0.10	12.46	24.02
0.11	12.70	23.92
0.12	12.94	23.82
0.13	13.17	23.73
0.14	13.41	23.63
0.15	13.65	23.53
0.16	13.88	23.43
0.17	14.12	23.33
0.18	14.35	23.23
0.19	14.58	23.14
0.20	14.81	23.04
0.21	15.04	22.94
0.22	15.27	22.84
0.23	15.50	22.74
0.24	15.73	22.65
0.25	15.96	22.55
0.26	16.18	22.45
0.27	16.41	22.35
0.28	16.63	22.25
0.29	16.85	22.16
0.30	17.07	22.06
0.31	17.29	21.96
0.32	17.51	21.86
0.33	17.73	21.76
0.34	17.95	21.67
0.35	18.17	21.57
0.36	18.38	21.47
0.37	18.60	21.37
0.38	18.81	21.27
0.39	19.02	21.18
0.40	19.24	21.08
0.41	19.45	20.98
0.42	19.66	20.88
0.43	19.86	20.78
0.44	20.07	20.69
0.45	20.28	20.59
0.46	20.49	20.49
0.47	20.69	20.39
0.48	20.89	20.29
0.49	21.10	20.19
0.50	21.30	20.10
0.51	21.50	20.00
0.52	21.70	19.90
0.53	21.90	19.80
0.54	22.10	19.70
0.55	22.29	19.61
0.56	22.49	19.51
0.57	22.68	19.41
0.58	22.88	19.31
0.59	23.07	19.21
0.60	23.26	19.12
0.61	23.46	19.02
0.62	23.65	18.92
0.63	23.83	18.82
0.64	24.02	18.72
0.65	24.21	18.63
0.66	24.40	18.53
0.67	24.58	18.43
0.68	24.77	18.33
0.69	24.95	18.23
0.70	25.13	18.14
0.71	25.31	18.04
0.72	25.49	17.94
0.73	25.67	17.84
0.74	25.85	17.74
0.75	26.03	17.65
0.76	26.21	17.55
0.77	26.38	17.45
0.78	26.56	17.35
0.79	26.73	17.25
0.80	26.90	17.15
0.81	27.07	17.06
0.82	27.24	16.96
0.83	27.41	16.86
0.84	27.58	16.76
0.85	27.75	16.66
0.86	27.92	16.57
0.87	28.08	16.47
0.88	28.25	16.37
0.89	28.41	16.27
0.90	28.57	16.17
0.91	28.73	16.08
0.92	28.89	15.98
0.93	29.05	15.88
0.94	29.21	15.78
0.95	29.37	15.68
0.96	29.53	15.59
0.97	29.68	15.49
0.98	29.84	15.39
0.99	29.99	15.29
1.00	30.15	15.19
1.01	30.30	15.10
1.02	30.45	15.00
1.03	30.60	14.90
1.04	30.75	14.80
1.05	30.90	14.70
1.06	31.04	14.60
1.07	31.19	14.51
1.08	31.33	14.41
1.09	31.48	14.31
1.10	31.62	14.21
1.11	31.76	14.11
1.12	31.90	14.02
1.13	32.04	13.92
1.14	32.18	13.82
1.15	32.32	13.72
1.16	32.46	13.62
1.17	32.60	13.53
1.18	32.73	13.43
1.19	32.86	13.33
1.20	33.00	13.23
1.21	33.13	13.13
1.22	33.26	13.04
1.23	33.39	12.94
1.24	33.52	12.84
1.25	33.65	12.74
1.26	33.78	12.64
1.27	33.90	12.55
1.28	34.03	12.45
1.29	34.15	12.35
1.30	34.28	12.25
1.31	34.40	12.15
1.32	34.52	12.06
1.33	34.64	11.96
1.34	34.76	11.86
1.35	34.88	11.76
1.36	35.00	11.66
1.37	35.11	11.56
1.38	35.23	11.47
1.39	35.34	11.37
1.40	35.46	11.27
1.41	35.57	11.17
1.42	35.68	11.07
1.43	35.79	10.98
1.44	35.90	10.88
1.45	36.01	10.78
1.46	36.12	10.68
1.47	36.23	10.58
1.48	36.33	10.49
1.49	36.44	10.39
1.50	36.54	10.29
1.51	36.64	10.19
1.52	36.75	10.09
1.53	36.85	10.00
1.54	36.95	9.90
1.55	37.05	9.80
1.56	37.14	9.70
1.57	37.24	9.60
1.58	37.34	9.51
1.59	37.43	9.41
1.60	37.53	9.31
1.61	37.62	9.21
1.62	37.71	9.11
1.63	37.80	9.02
1.64	37.89	8.92
1.65	37.98	8.82
1.66	38.07	8.72
1.67	38.16	8.62
1.68	38.24	8.52
1.69	38.33	8.43
1.70	38.41	8.33
1.71	38.50	8.23
1.72	38.58	8.13
1.73	38.66	8.03
1.74	38.74	7.94
1.75	38.82	7.84
1.76	38.90	7.74
1.77	38.98	7.64
1.78	39.05	7.54
1.79	39.13	7.45
1.80	39.20	7.35
1.81	39.27	7.25
1.82	39.35	7.15
1.83	39.42	7.05
1.84	39.49	6.96
1.85	39.56	6.86
1.86	39.63	6.76
1.87	39.70	6.66
1.88	39.76	6.56
1.89	39.83	6.47
1.90	39.89	6.37
