#-Hlavicka-#
# z0 = 100.00m, v0 = -20.00m/s, alfa = 330 degrees, azimut = 20 degrees, r = 3.00m,
# tD = 3.61s, ymax = 21.39m, tm = 0.00s, ymax = 100.00
#----------#
1.06	6.28	83.89	5.92	-20.40	26.09
1.07	6.34	83.69	5.92	-20.49	26.17
1.08	6.40	83.48	5.92	-20.59	26.25
1.09	6.46	83.27	5.92	-20.69	26.32
1.10	6.52	83.07	5.92	-20.79	26.40
1.11	6.58	82.86	5.92	-20.89	26.48
1.12	6.63	82.65	5.92	-20.98	26.56
1.13	6.69	82.44	5.92	-21.08	26.63
1.14	6.75	82.23	5.92	-21.18	26.71
1.15	6.81	82.02	5.92	-21.28	26.79
1.16	6.87	81.80	5.92	-21.38	26.87
1.17	6.93	81.59	5.92	-21.47	26.94
1.18	6.99	81.37	5.92	-21.57	27.02
1.19	7.05	81.16	5.92	-21.67	27.10
1.20	7.11	80.94	5.92	-21.77	27.18
1.21	7.17	80.72	5.92	-21.87	27.26
1.22	7.23	80.50	5.92	-21.96	27.34
1.23	7.29	80.28	5.92	-22.06	27.42
1.24	7.35	80.06	5.92	-22.16	27.50
1.25	7.40	79.84	5.92	-22.26	27.57
1.26	7.46	79.62	5.92	-22.36	27.65
1.27	7.52	79.39	5.92	-22.45	27.73
1.28	7.58	79.17	5.92	-22.55	27.81
1.29	7.64	78.94	5.92	-22.65	27.89
1.30	7.70	78.71	5.92	-22.75	27.97
1.31	7.76	78.49	5.92	-22.85	28.05
1.32	7.82	78.26	5.92	-22.94	28.13
1.33	7.88	78.03	5.92	-23.04	28.21
1.34	7.94	77.80	5.92	-23.14	28.29
1.35	8.00	77.56	5.92	-23.24	28.37
1.36	8.06	77.33	5.92	-23.34	28.45
1.37	8.12	77.10	5.92	-23.44	28.53
1.38	8.18	76.86	5.92	-23.53	28.61
1.39	8.23	76.63	5.92	-23.63	28.69
1.40	8.29	76.39	5.92	-23.73	28.77
1.41	8.35	76.15	5.92	-23.83	28.86
1.42	8.41	75.91	5.92	-23.93	28.94
1.43	8.47	75.67	5.92	-24.02	29.02
1.44	8.53	75.43	5.92	-24.12	29.10
1.45	8.59	75.19	5.92	-24.22	29.18
1.46	8.65	74.95	5.92	-24.32	29.26
1.47	8.71	74.70	5.92	-24.42	29.34
1.48	8.77	74.46	5.92	-24.51	29.43
1.49	8.83	74.21	5.92	-24.61	29.51
1.50	8.89	73.97	5.92	-24.71	29.59
