Time (s)	Acceleration (m/s²)	Velocity (m/s)
0.00	13.75	0.00
0.05	13.75	0.69
0.10	13.62	1.37
0.15	13.22	2.03
0.20	12.59	2.66
0.25	11.76	3.25
0.30	10.78	3.79
0.35	9.72	4.27
0.40	8.61	4.70
0.45	7.53	5.08
0.50	6.49	5.40
0.55	5.53	5.68
0.60	4.67	5.91
0.65	3.91	6.11
0.70	3.25	6.27
0.75	2.68	6.41
0.80	2.20	6.52
0.85	1.80	6.61
0.90	1.47	6.68
0.95	1.19	6.74
1.00	0.97	6.79
1.05	0.78	6.83
1.10	0.63	6.86
1.15	0.51	6.88
1.20	0.41	6.90
1.25	0.33	6.92
1.30	0.27	6.93
1.35	0.22	6.94
1.40	0.17	6.95
1.45	0.14	6.96
1.50	0.11	6.97
1.55	0.09	6.97
1.60	0.07	6.97
1.65	0.06	6.98
1.70	0.05	6.98
1.75	0.04	6.98
1.80	0.03	6.98
1.85	0.02	6.98
1.90	0.02	6.99
1.95	0.02	6.99
2.00	0.01	6.99
2.05	0.01	6.99
2.10	0.01	6.99
2.15	0.01	6.99
2.20	0.01	6.99
2.25	0.00	6.99
2.30	0.00	6.99
2.35	0.00	6.99
2.40	0.00	6.99
2.45	0.00	6.99
2.50	0.00	6.99
2.55	0.00	6.99
2.60	0.00	6.99
2.65	0.00	6.99
2.70	0.00	6.99
2.75	0.00	6.99
2.80	0.00	6.99
2.85	0.00	6.99
2.90	0.00	6.99
2.95	0.00	6.99
3.00	0.00	6.99
3.05	0.00	6.99
3.10	0.00	6.99
3.15	0.00	6.99
3.20	0.00	6.99
3.25	0.00	6.99
3.30	0.00	6.99
3.35	0.00	6.99
3.40	0.00	6.99
3.45	0.00	6.99
3.50	0.00	6.99
3.55	0.00	6.99
3.60	0.00	6.99
3.65	0.00	6.99
3.70	0.00	6.99
3.75	0.00	6.99
3.80	0.00	6.99
3.85	0.00	6.99
3.90	0.00	6.99
3.95	0.00	6.99
4.00	0.00	6.99
4.05	0.00	6.99
4.10	0.00	6.99
4.15	0.00	6.99
4.20	0.00	6.99
4.25	0.00	6.99
4.30	0.00	6.99
4.35	0.00	6.99
4.40	0.00	6.99
4.45	0.00	6.99
4.50	0.00	6.99
4.55	0.00	6.99
4.60	0.00	6.99
4.65	0.00	6.99
4.70	0.00	6.99
4.75	0.00	6.99
4.80	0.00	6.99
4.85	0.00	6.99
4.90	0.00	6.99
4.95	0.00	6.99
5.00	0.00	6.99
